commonid,BlockStartingHour,BankerGroup,state
2017684,11,Refinance,NV
2017684,11,Refinance,OR
2017684,11,Refinance,PA
2017684,11,Refinance,TX
2017684,11,Refinance,VA
2017889,11,Refinance,CA
2017889,11,Refinance,DE
2017889,11,Refinance,FL
2017889,11,Refinance,GA
2017889,11,Refinance,IL
2017889,11,Refinance,LA
2017889,11,Refinance,MA
2017889,11,Refinance,MI
2017889,11,Refinance,OH
2017889,11,Refinance,OR
2017889,11,Refinance,PA
2017889,11,Refinance,SC
2017889,11,Refinance,TX
2017889,11,Refinance,VA
2017889,11,Refinance,WA
2017889,11,Refinance,WI
2017889,11,Refinance,WY
2017931,11,Purchase,AL
2017931,11,Purchase,CA
2017931,11,Purchase,CO
2017931,11,Purchase,FL
2017931,11,Purchase,GA
2017931,11,Purchase,IN
2017931,11,Purchase,KS
2017931,11,Purchase,LA
2017931,11,Purchase,MI
2017931,11,Purchase,MS
2017931,11,Purchase,MO
2017931,11,Purchase,NM
2017931,11,Purchase,OH
2017931,11,Purchase,OK
2017931,11,Purchase,TX
2017931,11,Purchase,UT
2017954,11,Purchase,AL
2017954,11,Purchase,AZ
2017954,11,Purchase,AR
2017954,11,Purchase,CA
2017954,11,Purchase,CO
2017954,11,Purchase,FL
2017954,11,Purchase,GA
2017954,11,Purchase,LA
2017954,11,Purchase,MI
2017954,11,Purchase,MN
2017954,11,Purchase,MS
2017954,11,Purchase,MO
2017954,11,Purchase,NJ
2017954,11,Purchase,ND
2017954,11,Purchase,OR
2017954,11,Purchase,VA
2017954,11,Purchase,WA
2018011,11,Refinance,AL
2018011,11,Refinance,AK
2018011,11,Refinance,CA
2018011,11,Refinance,CO
2018011,11,Refinance,FL
2018011,11,Refinance,GA
2018011,11,Refinance,HI
2018011,11,Refinance,MA
2018011,11,Refinance,MI
2018011,11,Refinance,MS
2018011,11,Refinance,MO
2018011,11,Refinance,OH
2018011,11,Refinance,PA
2018011,11,Refinance,SC
2018011,11,Refinance,TX
